rule_id,rule_version,rule_text,input_category,recommended_category,applicable_query_categories,required_context,query_terms,candidate_terms,scenario_label,gender_context,formality_level,occasion_tags,season_tags,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_locator,source_access_date,source_validation_status,source_reliability,evidence_summary,rule_scope,rule_limitations,audit_status,supersedes_rule_ids
K001,2,"When jeans are the anchor, change the top to suit the setting rather than treating denim as one fixed look. For warm-weather holidays or relaxed daytime wear, use a breathable linen or cotton shirt, light knit, tank, or simple tee in white, pale blue, soft green, or another easy neutral; for city-casual or streetwear, a clean white tee, graphic tee, or fitted knit can sit under a leather or bomber jacket. The contrast between relaxed denim and a cleaner or lighter top keeps the outfit intentional without over-styling it.",bottoms,tops,bottoms,none,jeans|denim|straight leg jean|straight-leg jean|wide leg jean|wide-leg jean|skinny jean|baggy jean,linen shirt|linen blouse|button-down|button down|t-shirt|t shirt|tee|tank|knit|sweater|blouse|top,denim_multi_occasion,general,casual to smart casual,holiday|weekend|streetwear|daytime,all,fashion_editorial,The Wardrobe Essentials We’re Wearing in 2026,Vogue,2026,https://www.vogue.com/article/vogue-wardrobe-essentials-guide,lines 305-369 show tops combined with pants skirts and jeans,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source treats jeans as a versatile wardrobe essential that works across casual and dressed-up styling; the occasion, colour and layering alternatives are bounded model enrichment.",Jeans or denim as the explicit lower-body anchor; recommends versatile casual-to-polished tops.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R053|R077
K002,2,"With wide-leg or palazzo trousers, keep at least one point of definition on the upper body. A fitted knit, ribbed tank, tucked button-down, neat blouse, or cropped cardigan works well for office and smart-casual settings; a relaxed tee can also work at weekends if it is tucked or deliberately cropped. Showing the waist or using a cleaner shoulder line prevents the volume of the trousers from overwhelming the silhouette.",bottoms,tops,bottoms,none,wide leg trouser|wide-leg trouser|wide leg pant|wide-leg pant|palazzo|loose trouser|baggy trouser,fitted top|fitted knit|cardigan|ribbed top|tank|button-down|button down|shirt|blouse|crop top|cropped top|top,wide_leg_proportion,general,casual to business casual,office|daytime|dinner|weekend,all,fashion_editorial,Wide-Leg Trousers Are a Vogue Office Favorite—7 Street Style-Approved Ways to Wear Them,Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,The Classic Black section,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source repeatedly pairs wide trousers with fitted, tucked, cropped, or otherwise controlled tops; the occasion framing and rationale are bounded enrichment.","Wide-leg, palazzo, loose or baggy trousers; focuses on proportion-balanced tops.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R057|R082
K003,2,"For leggings or very close-fitting bottoms, choose the top according to how polished you want the outfit to feel. A longline shirt, relaxed knit, sweatshirt, or clean oversized tee gives easy coverage for travel and casual wear, while a fitted tank or cropped top can work for athleisure when balanced with an outer layer. Mixing one close-fitting piece with one looser or more structured piece creates clearer proportion than making the entire outfit equally tight.",bottoms,tops,bottoms,none,legging|leggings|skinny pant|skinny pants|jeggings,longline shirt|oversized shirt|sweater|sweatshirt|hoodie|tank|t-shirt|t shirt|tee|blouse|knit|top,legging_balance,general,casual to athleisure,travel|weekend|gym-to-street|daytime,all,fashion_editorial,Outfit Formulas,Vogue,2026,https://www.vogue.com/outfit-formulas,editorial formulas include knitwear and bags as outfit components,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source shows modern outfit formulas built around leggings and close-fitting casual pieces; the proportion and use-case guidance is bounded model enrichment.,"Leggings, jeggings and similarly fitted bottoms; recommends balanced casual or athleisure tops.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R065
K004,2,"With a skirt, let the skirt's shape and texture determine the top. A simple tee, tank, or fine knit relaxes a satin, pleated, embellished, or leather skirt; a crisp shirt or blouse makes a denim or simple skirt more polished; and a cropped or tucked top helps when a midi or maxi skirt has a fuller shape. Keeping one half of the outfit visually quieter makes the silhouette and texture feel deliberate rather than busy.",bottoms,tops,bottoms,none,mini skirt|midi skirt|maxi skirt|skirt|pleated skirt|slip skirt|denim skirt,t-shirt|t shirt|tee|tank|blouse|shirt|button-down|button down|knit|sweater|cardigan|crop top|top,skirt_top_balance,general,casual to dressy,work|date|weekend|evening,all,fashion_editorial,These 6 T-Shirt Outfits That Are Chic Enough to Go Out In,Who What Wear,2023,https://www.whowhatwear.com/best-t-shirt-outfits,opening outfit formulas pairing tees with shoulder bags and bright bags,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source demonstrates T-shirts and simple tops used to balance skirts of different textures and formality; broader skirt categories and rationale are bounded enrichment.,"Mini, midi, maxi, slip, pleated or denim skirts; recommends tops that balance texture and volume.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R064
K005,2,"For shorts, especially in warm weather, use the top to control formality. Linen or cotton shirts, polos, tanks, and clean tees keep beach, holiday, and daytime outfits breathable; tailored Bermuda shorts can take a tucked blouse, ribbed knit, or crisp button-down for brunch or smart-casual use. Light colours and natural fabrics keep the outfit seasonally coherent, while a sharper collar or tucked waist stops longer shorts from looking shapeless.",bottoms,tops,bottoms,none,shorts|bermuda short|bermuda shorts|tailored shorts|denim shorts,linen shirt|button-down|button down|shirt|tank|t-shirt|t shirt|tee|polo|wrap top|blouse|knit|top,shorts_warm_weather,general,casual to smart casual,holiday|beach|daytime|brunch|summer dinner,spring|summer,fashion_editorial,How to Build the Perfect Warm-Weather Wardrobe,GQ,2026,https://www.gq.com/story/ultimate-wardrobe-spring-summer-edition,lines 64-73 describe wardrobe pieces selected to work together including a denim jacket,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source supports breathable warm-weather shirting and relaxed summer dressing; the shorts-specific alternatives, colour and proportion guidance are bounded enrichment.","Denim, tailored and Bermuda shorts; warm-weather top recommendations.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R071
K006,2,"When the trousers are already the statement—leather, metallic, checked, heavily detailed, or brightly patterned—keep the top relatively calm. A white or black tank, plain tee, fine knit, or simple shirt lets texture and hardware stay concentrated below the waist; for evening, a refined blouse or fitted knit can raise the formality without adding another competing motif. This one-focal-point approach gives strong trousers room to read clearly.",bottoms,tops,bottoms,none,leather trouser|leather trousers|leather pant|leather pants|statement trouser|checked trouser|printed trouser|metallic pant,white tank|tank|plain t-shirt|plain tee|shirt|button-down|button down|fine knit|sweater|blouse|top,statement_bottom_restraint,general,casual to evening,dinner|evening|streetwear|daytime,autumn|winter|spring,fashion_editorial,How Vogue's Shopping Editor Is Styling Trousers For Autumn,British Vogue,2024,https://www.vogue.co.uk/article/how-to-style-trousers-for-autumn,Leather bomber jacket + statement trousers + kitten heels section,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source styles statement and leather trousers with comparatively simple tops and controlled layering; the broader one-focal-point principle is bounded enrichment.,"Leather, checked, metallic or otherwise statement trousers; recommends restrained tops.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R072|R118
K007,2,"Sneakers work best when the top matches their level of refinement. With sporty or chunky trainers, use a clean tee, sweatshirt, knit, or casual shirt; with minimal leather or low-profile sneakers, a polo, Oxford shirt, fine knit, or tucked tee can move the outfit into smart-casual territory. Repeating one colour from the shoes in the top is optional, but keeping the upper half clean prevents casual footwear from making the whole outfit look accidental.",shoes,tops,shoes,none,sneaker|sneakers|trainer|trainers|low profile sneaker|low-profile sneaker,t-shirt|t shirt|tee|polo|knit|sweater|shirt|button-down|button down|tank|top,sneaker_top_formality,general,casual to smart casual,weekend|travel|daytime|smart casual,all,fashion_editorial,Guys can still get jeans and trainers wrong. Here's how to get it right,British GQ,2025,https://www.gq-magazine.co.uk/article/how-to-wear-jeans-and-trainers,wide-leg and baggy jeans sections,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source explains how jean-and-trainer outfits depend on sneaker shape and surrounding casual pieces; the top alternatives and colour echo are bounded enrichment.,Sneakers or trainers as the explicit footwear anchor; tops scaled to sneaker formality.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R067
K008,2,"A T-shirt can move from very casual to polished depending on the bottom. For everyday wear, pair it with straight or relaxed jeans, denim shorts, or a simple skirt; for smart-casual dressing, tuck a clean tee into pleated or tailored trousers; for streetwear, looser denim can work if the tee is intentionally oversized or cropped. Using either a defined waist or a deliberate volume relationship keeps the combination from looking like two unrelated basics.",tops,bottoms,tops,none,t-shirt|t shirt|tee|graphic tee|white tee,jeans|denim|trouser|trousers|pants|skirt|shorts|chino|chinos|bottom,tee_bottoms_multi_occasion,general,casual to smart casual,weekend|streetwear|brunch|daytime,all,fashion_editorial,The Best T-Shirt and Trouser Pairings for This Season’s Most Laidback Trend,Vogue,2021,https://www.vogue.com/article/t-shirt-outfits,opening paragraphs on classic T-shirts with tailored and loose trousers,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source presents T-shirts with jeans, skirts and tailored trousers across casual and polished outfits; the volume and occasion framework is bounded enrichment.",T-shirts and tees; bottoms ranging from denim to tailored trousers and skirts.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R079
K009,2,"With a cropped top, high-rise bottoms create the cleanest proportion because they reduce the visual gap at the waist. High-waisted trousers, jeans, midi skirts, or tailored shorts work for casual wear; for office or smart-casual settings, choose a crop that offers more coverage and pair it with high-rise tailored trousers or a longer skirt. The higher waist anchors the short top and makes the silhouette feel intentional rather than simply exposed.",tops,bottoms,tops,none,crop top|cropped top|cropped shirt|bralette|short top,high waist trouser|high-waist trouser|high waisted trouser|high-waisted trouser|high waist skirt|high-waist skirt|high waisted skirt|high-waisted skirt|high rise jeans|high-rise jeans|bottom,crop_top_high_rise,general,casual to business casual,weekend|office|daytime|summer,spring|summer|all,fashion_editorial,Does an Office-Appropriate Crop Top Exist?,Vogue,2019,https://www.vogue.com/vogueworld/article/how-to-wear-crop-tops-to-the-office-summer-fashion,Hide in High-Waisted section,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source explicitly supports crop tops with high-waisted pants and office layering; jeans, skirts and shorts are bounded extensions of the same proportion principle.","Cropped tops; prioritizes high-rise trousers, jeans, skirts and tailored shorts.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R080
K010,2,"A button-down or dress shirt is versatile enough to move between denim and tailoring. Use chinos or tailored trousers for work and smart casual, dark or straight-leg jeans for a relaxed polished outfit, and wider trousers when the shirt is tucked or lightly bloused at the waist; a simple midi skirt also works in womenswear. The cleaner the shirt, the more texture or volume the bottom can carry without the outfit becoming visually noisy.",tops,bottoms,tops,none,button-down|button down|button-up|button up|dress shirt|oxford shirt|white shirt,chino|chinos|tailored trouser|tailored trousers|jeans|denim|wide leg trouser|wide-leg trouser|skirt|bottom,shirt_bottoms_formality,general,casual to business casual,office|smart casual|weekend|dinner,all,fashion_editorial,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,business-casual wardrobe sections on blazers shirts and knitwear,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source supports shirts with chinos, trousers and workplace-appropriate denim; wide-leg and skirt alternatives are bounded enrichment.","Button-down, Oxford and dress shirts; smart-casual bottoms.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R084
